Experiment Number,compress,maxStreams,sourceDatabasetoTargetDatabase,tables,Experiment startTime,logTime,logType,logLocation,logDescription
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:31:58.818,INFO,<1126:MainThread> base_migration.py:309,Migration summary
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,,,,"Source object:        ""DB2INST1"".""TEST"""
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,,,,"Target object:        ""DB2INST1"".""TEST"""
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,,,,Object type:          Table
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,,,,Success:              True
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,,,,Elapsed:              00:01:03.850
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,,,,Start time:           2024-04-15 12:30:55.731976
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,,,,End time:             2024-04-15 12:31:58.817101
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,,,,
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,,,,
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:31:58.819,DEBUG,<1126:MainThread> base_migration.py:328,Removing /tmp/db_migr/db_migr-20240415_122831.167609/com.ibm.migration.unload._bk1h2wo/40237b2de4dc4edba39074d609f617c1 ...
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:31:59.850,INFO,<1074:MainThread> migration_runner.py:387,Total time: 208.6765627861023 (0:03:28)
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:31:59.850,DEBUG,<1074:MainThread> migration_runner.py:504,Migration finished with exit code 0
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:31:59.850,INFO,<1074:MainThread> migration_runner.py:508,Log file: /tmp/db_migr/db_migr-20240415_122831.167609/db_migr-20240415_122831.171965.log
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:31:59.856,INFO,<1074:MainThread> migration_runner.py:513,JSON file: /tmp/db_migr/db_migr-20240415_122831.167609/migration_history_ad60fd37fb3145c1a69e775525e17950/migration_report.json
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:31:59.860,TRACE,<1074:MainThread> logger.py:81,Migration executed with the following arguments:
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,,,,Explicit arguments:
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,,,,
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,,,,Default arguments:
